participant_id,random_id,trial_index,trial_number,time_elapsed,condition,category,level,selection_array,selection_index,rt_array,selection_type_array,final_choice_array,final_rt,index,test_choice,choice_type,choice_category,choice_match_category,choice_type_training_consistent
Beaver,p0dl5tzjk4h,13,8,147298,3-item,vegetables,basic,"[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]","[3,4,8,23]","[4353,5090,6720,9575]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]",12618,2,stimuli/c1_sub4.jpg,subordinate,vegetables,1,1
Beaver,p0dl5tzjk4h,13,8,147298,3-item,vegetables,basic,"[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]","[3,4,8,23]","[4353,5090,6720,9575]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]",12618,3,stimuli/c1_bas3.jpg,basic,vegetables,1,1
Beaver,p0dl5tzjk4h,13,8,147298,3-item,vegetables,basic,"[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]","[3,4,8,23]","[4353,5090,6720,9575]","[""select"",""select"",""select"",""select""]","[""stimuli/c1_sub5.jpg"",""stimuli/c1_sub4.jpg"",""stimuli/c1_bas3.jpg"",""stimuli/c1_bas4.jpg""]",12618,4,stimuli/c1_bas4.jpg,basic,vegetables,1,1
Beaver,p0dl5tzjk4h,14,9,171860,3-item,vehicles,superordinate,"[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]","[16,5,12,18,21,22,23,6]","[13578,14671,16079,17706,19055,19684,20369,22324]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]",24556,1,stimuli/c2_bas3.jpg,basic,vehicles,1,1
Beaver,p0dl5tzjk4h,14,9,171860,3-item,vehicles,superordinate,"[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]","[16,5,12,18,21,22,23,6]","[13578,14671,16079,17706,19055,19684,20369,22324]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]",24556,2,stimuli/c2_sup3.jpg,superordinate,vehicles,1,1
Beaver,p0dl5tzjk4h,14,9,171860,3-item,vehicles,superordinate,"[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]","[16,5,12,18,21,22,23,6]","[13578,14671,16079,17706,19055,19684,20369,22324]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]",24556,3,stimuli/c2_sub5.jpg,subordinate,vehicles,1,1
Beaver,p0dl5tzjk4h,14,9,171860,3-item,vehicles,superordinate,"[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]","[16,5,12,18,21,22,23,6]","[13578,14671,16079,17706,19055,19684,20369,22324]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]",24556,4,stimuli/c2_sup6.jpg,superordinate,vehicles,1,1
Beaver,p0dl5tzjk4h,14,9,171860,3-item,vehicles,superordinate,"[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]","[16,5,12,18,21,22,23,6]","[13578,14671,16079,17706,19055,19684,20369,22324]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]",24556,5,stimuli/c2_sup4.jpg,superordinate,vehicles,1,1
Beaver,p0dl5tzjk4h,14,9,171860,3-item,vehicles,superordinate,"[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]","[16,5,12,18,21,22,23,6]","[13578,14671,16079,17706,19055,19684,20369,22324]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]",24556,6,stimuli/c2_bas4.jpg,basic,vehicles,1,1
Beaver,p0dl5tzjk4h,14,9,171860,3-item,vehicles,superordinate,"[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]","[16,5,12,18,21,22,23,6]","[13578,14671,16079,17706,19055,19684,20369,22324]","[""select"",""select"",""select"",""select"",""select"",""select"",""select"",""select""]","[""stimuli/c2_bas3.jpg"",""stimuli/c2_sup3.jpg"",""stimuli/c2_sub5.jpg"",""stimuli/c2_sup6.jpg"",""stimuli/c2_sup4.jpg"",""stimuli/c2_bas4.jpg"",""stimuli/c2_sub4.jpg"",""stimuli/c2_sup5.jpg""]",24556,7,stimuli/c2_sub4.jpg,subordinate,vehicles,1,1
